created_at,State,RTO,OEM,CNG ONLY,DIESEL,DIESEL/HYBRID,ELECTRIC(BOV),Petrol,Petrol /CNG,Petrol /HYBRID,PURE EV,STRONG HYBRID EV,PETROL/ETHANOL,Total,EV
2025-11-07T12:55:29.443519+00:00,Tamil Nadu,CHENNAI RTO,NISSAN MOTOR INDIA PVT LTD,0,0,0,0,5,0,0,0,0,0,5,0
2025-11-07T12:55:29.443519+00:00,Tamil Nadu,CHENNAI RTO,RENAULT INDIA PVT LTD,0,0,0,0,0,0,0,0,0,2,2,0
2025-11-07T12:55:29.443519+00:00,Tamil Nadu,CHENNAI RTO,SKODA AUTO VOLKSWAGEN INDIA PVT LTD,0,0,0,0,0,0,0,0,0,4,4,0
2025-11-07T12:55:29.443519+00:00,Tamil Nadu,CHENNAI RTO,STELLANTIS AUTOMOBILES INDIA PVT LTD,0,0,0,0,0,0,0,0,0,1,1,0
2025-11-07T12:55:29.443519+00:00,Tamil Nadu,CHENNAI RTO,TATA MOTORS PASSENGER VEHICLES LTD,0,1,0,0,1,1,0,0,0,15,18,0
2025-11-07T12:55:29.443519+00:00,Tamil Nadu,CHENNAI RTO,TATA PASSENGER ELECTRIC MOBILITY LTD,0,0,0,1,0,0,0,1,0,0,2,2
2025-11-07T12:55:29.443519+00:00,Tamil Nadu,CHENNAI RTO,TOYOTA KIRLOSKAR MOTOR PVT LTD,0,0,0,0,0,0,2,0,1,4,7,0
2025-11-07T12:55:29.459747+00:00,Tamil Nadu,AMBASAMUTHIRAM,HYUNDAI MOTOR INDIA LTD,0,0,0,0,0,0,0,0,0,1,1,0
2025-11-07T12:55:29.459747+00:00,Tamil Nadu,AMBASAMUTHIRAM,KIA INDIA PRIVATE LIMITED,0,0,0,0,0,0,0,1,0,0,1,1
2025-11-07T12:55:29.459747+00:00,Tamil Nadu,AMBASAMUTHIRAM,MARUTI SUZUKI INDIA LTD,0,0,0,0,6,0,0,0,0,0,6,0
2025-11-07T12:55:29.459747+00:00,Tamil Nadu,AMBASAMUTHIRAM,SKODA AUTO VOLKSWAGEN INDIA PVT LTD,0,0,0,0,1,0,0,0,0,0,1,0
2025-11-07T12:55:29.459747+00:00,Tamil Nadu,AMBASAMUTHIRAM,STELLANTIS AUTOMOBILES INDIA PVT LTD,0,0,0,0,0,0,0,0,0,1,1,0
2025-11-07T12:55:29.459747+00:00,Tamil Nadu,AMBASAMUTHIRAM,TATA MOTORS PASSENGER VEHICLES LTD,0,0,0,0,0,0,0,0,0,1,1,0
2025-11-07T12:55:29.459747+00:00,Tamil Nadu,AMBASAMUTHIRAM,TOYOTA KIRLOSKAR MOTOR PVT LTD,0,0,0,0,0,0,0,0,0,2,2,0
2025-11-07T12:55:29.486676+00:00,Tamil Nadu,CHENNAI (SOUTH,HONDA CARS INDIA LTD,0,0,0,0,2,0,0,0,0,0,2,0
2025-11-07T12:55:29.486676+00:00,Tamil Nadu,CHENNAI (SOUTH,HYUNDAI MOTOR INDIA LTD,0,1,0,0,0,0,0,0,0,8,9,0
2025-11-07T12:55:29.486676+00:00,Tamil Nadu,CHENNAI (SOUTH,JSW MG MOTOR INDIA PVT LTD,0,0,0,0,0,0,0,1,0,0,1,1
2025-11-07T12:55:29.486676+00:00,Tamil Nadu,CHENNAI (SOUTH,KIA INDIA PRIVATE LIMITED,0,1,0,0,0,0,0,0,0,5,6,0
2025-11-07T12:55:29.486676+00:00,Tamil Nadu,CHENNAI (SOUTH,MAHINDRA & MAHINDRA LIMITED,0,3,0,0,0,0,0,0,0,0,3,0
2025-11-07T12:55:29.486676+00:00,Tamil Nadu,CHENNAI (SOUTH,MARUTI SUZUKI INDIA LTD,0,0,0,0,5,3,2,0,0,0,10,0
2025-11-07T12:55:29.486676+00:00,Tamil Nadu,CHENNAI (SOUTH,MERCEDES-BENZ INDIA PVT LTD,0,0,1,0,0,0,0,0,0,0,1,0
2025-11-07T12:55:29.486676+00:00,Tamil Nadu,CHENNAI (SOUTH,NISSAN MOTOR INDIA PVT LTD,0,0,0,0,1,0,0,0,0,0,1,0
2025-11-07T12:55:29.486676+00:00,Tamil Nadu,CHENNAI (SOUTH,RENAULT INDIA PVT LTD,0,0,0,0,0,0,0,0,0,2,2,0
2025-11-07T12:55:29.486676+00:00,Tamil Nadu,CHENNAI (SOUTH,SKODA AUTO VOLKSWAGEN INDIA PVT LTD,0,0,0,0,0,0,0,0,0,1,1,0
2025-11-07T12:55:29.486676+00:00,Tamil Nadu,CHENNAI (SOUTH,TATA MOTORS PASSENGER VEHICLES LTD,0,1,0,0,0,0,0,0,0,1,2,0
2025-11-07T12:55:29.486676+00:00,Tamil Nadu,CHENNAI (SOUTH,TOYOTA KIRLOSKAR MOTOR PVT LTD,0,0,0,0,0,0,2,0,1,1,4,0
